Product Model,Code
STX44-ICSA,9118 12 00
STX44-HCSA,9118 04 00
STX44-DC2SA,9118 12 55
STX44-HRSA,9118 05 00
STX44-DR2SA,9118 12 37
STX44-ARSA,9118 12 45
STX44-DFSA,9118 12 38
STX44-NCSA,9118 12 40
STX44-ICMISA,9118 12 85
STX44-HCMISA,9118 12 86
STX44-DC2MISA,9118 12 87
STX44-HRMISA,9118 12 88
STX44-DR2MISA,9118 12 89
STX44-ARMISA,9118 12 90
STX44-DFMISA,9118 12 91
STX44-NCMISA,9118 12 92
STX44-ICBT,9118 07 00
STX44-HCBT,9118 08 00
STX44-DC2BT,9118 12 56
STX44-HRBT,9118 09 00
STX44-DR2BT,9118 12 65
STX44-ARBT,9118 12 34
STX44-DFBT,9118 12 39
STX44-NCBT,9118 12 72
STX44-ICMIBT,9118 12 93
STX44-HCMIBT,9118 12 94
STX44-DC2MIBT,9118 12 95
STX44-HRMIBT,9118 13 00
STX44-DR2MIBT,9118 12 96
STX44-ARMIBT,9118 12 97
STX44-DFMIBT,9118 12 98
STX44-NCMIBT,9118 12 99
STX56-ICSA,9118 27 00
STX56-HCSA,9118 27 01
STX56-DC2SA,9118 27 02
STX56-HRSA,9118 27 03
STX56-DFSA,9118 27 04
STX56-ARSA,9118 27 05
STX56-DR2SA,9118 27 06
STX56-NCSA,9118 27 07
STX56-ICBT,9118 27 08
STX56-HCBT,9118 27 09
STX56-DC2BT,9118 27 10
STX56-HRBT,9118 27 11
STX56-DFBT,9118 27 12
STX56-ARBT,9118 27 13
STX56-DR2BT,9118 27 14
STX56-NCBT,9118 27 15
STX66-ICSA,9118 26 30
STX66-HCSA,9118 26 31
STX66-DC2SA,9118 26 32
STX66-HRSA,9118 26 33
STX66-ARSA,9118 26 35
STX66-DR2SA,9118 26 34
STX66-DFSA,9118 26 36
STX66-NCSA,9118 26 37
STX66-ICBT,9118 26 22
STX66-HCBT,9118 26 23
STX66-DC2BT,9118 26 24
STX66-HRBT,9118 26 25
STX66-ARBT,9118 26 27
STX66-DR2BT,9118 26 26
STX66-DFBT,9118 26 28
STX66-NCBT,9118 26 29
STX88-ICSA,9118 29 51
STX88-HCSA,9118 29 52
STX88-DC2SA,9118 29 53
STX88-HRSA,9118 29 54
STX88-ARSA,9118 29 55
STX88-DR2SA,9118 29 56
STX88-NCSA,9118 29 57
STX88-ICBT,9118 29 58
STX88-HCBT,9118 29 59
STX88-DC2BT,9118 29 60
STX88-HRBT,9118 29 61
STX88-ARBT,9118 29 62
STX88-DR2BT,9118 29 63
STX88-NCBT,9118 29 64
STX110-ICSA,9131 00 00
STX110-HCSA,9131 05 00
STX110-DC2SA,9131 05 25
STX110-HRSA,9131 05 01
STX110-DR2SA,9131 05 07
STX110-ARSA,9131 05 12
STX110-DFSA,9131 05 14
STX110-NCSA,9131 05 28
STX110-ICBT,9131 05 03
STX110-HCBT,9131 05 04
STX110-DC2BT,9131 05 26
STX110-HRBT,9131 05 05
STX110-DR2BT,9131 05 08
STX110-ARBT,9131 05 15
STX110-DFBT,9131 05 19
STX110-NCBT,9131 05 29
STX140-ICSA,9131 03 08
SXT140-HCSA,9131 03 09
STX140-DC2SA,9131 03 10
STX140-HRSA,9131 03 11
STX140-DR2SA,9131 03 14
STX140-ARSA,9131 03 13
STX140-DFSA,9131 03 12
STX140-NCSA,9131 03 15
STX140-ICBT,9131 03 16
SXT140-HCBT,9131 03 17
STX140-DC2BT,9131 03 18
STX140-HRBT,9131 03 19
STX140-DR2BT,9131 03 22
STX140-ARBT,9131 03 21
STX140-DFBT,9131 03 20
STX140-NCBT,9131 03 23
STX220-ICSA,9122 05 10
STX220-HCSA,9122 05 11
STX220-DC2SA,9123 05 07
STX220-HRSA,9122 05 12
STX220-DR2SA,9122 05 05
STX220-ARSA,9122 05 21
STX220-DFSA,9122 05 27
STX220-NCSA,9123 05 14
STX220-ICBT,9123 05 10
STX220-HCBT,9123 05 11
STX220-DC2BT,9123 05 08
STX220-HRBT,9123 05 12
STX220-DR2BT,9123 05 41
STX220-ARBT,9123 05 19
STX220-DFBT,9122 05 31
STX220-NCBT,9123 05 15
STX280-ICSA,9122 09 63
STX280-HCSA,9122 09 64
STX280-DC2SA,9122 09 65
STX280-HRSA,9122 09 66
STX280-DR2SA,9122 09 67
STX280-ARSA,9122 09 68
STX280-DFSA,9122 09 69
STX280-NCSA,9122 09 70
STX280-ICBT,9122 09 71
STX280-HCBT,9122 09 72
STX280-DC2BT,9122 09 73
STX280-HRBT,9122 09 74
STX280-DR2BT,9122 09 75
STX280-ARBT,9122 09 76
STX280-DFBT,9122 09 77
STX280-NCBT,9122 09 78
STX500-ICSA,9132 00 00
STX500-HCSA,9132 05 00
STX500-DC2SA,9132 05 10
STX500-HRSA,9132 05 01
STX500-DR2SA,9132 05 03
STX500-ARSA,9132 05 05
STX500-DFSA,9132 05 07
STX500-NCSA,9132 06 19
STX500-ICBT,9132 04 45
STX500-HCBT,9132 04 46
STX500-DC2BT,9132 04 47
STX500-HRBT,9132 04 48
STX500-DR2BT,9132 04 50
STX500-ARBT,9132 04 49
STX500-DFBT,9132 04 52
STX500-NCBT,9132 04 51
STX1000-ICSA,9136 00 00
STX1000-HCSA,9136 05 00
STX1000-DC2SA,9136 05 10
STX1000-HRSA,9136 05 01
STX1000-DR2SA,9136 05 12
STX1000-ARSA,9136 05 08
STX1000-DFSA,9136 05 03
STX1000-NCSA,9136 05 16
STX1000-ICBT,9136 11 53
STX1000-HCBT,9136 11 54
STX1000-DC2BT,9136 11 55
STX1000-HRBT,9136 11 56
STX1000-DR2BT,9136 11 58
STX1000-ARBT,9136 11 57
STX1000-DFBT,9136 11 60
STX1000-NCBT,9136 11 59
